None,ticker,Date,Open,High,Low,Close,Volume,Adj_Close
834,AMZN,11/28/2014,336.03,341.26,336.03,338.64,3051798,338.64
835,AMZN,11/26/2014,333.78,334.65,331.75,333.57,1985949,333.57
836,AMZN,11/25/2014,335.27,336.3325,331.28,335.04,2564989,335.04
837,AMZN,11/24/2014,334.78,337.39,333.6,335.64,2754186,335.64
838,AMZN,11/21/2014,335.42,338.33,331.47,332.63,4466587,332.63
839,AMZN,11/20/2014,324,332.67,323.33,330.54,3436721,330.54
840,AMZN,11/19/2014,327.25,328.4,324.02,326.54,3281614,326.54
841,AMZN,11/18/2014,323.99,329.56,323.25,324.93,3551161,324.93
842,AMZN,11/17/2014,326.44,328,318.03,323.05,4784933,323.05
843,AMZN,11/14/2014,317.12,332.88,316.401,327.82,8877785,327.82
844,AMZN,11/13/2014,312,317.89,311.51,316.48,3686428,316.48
845,AMZN,11/12/2014,310.75,312.58,308.79,311.51,2182982,311.51
846,AMZN,11/11/2014,305.94,312.38,303.646,312.01,3807333,312.01
847,AMZN,11/10/2014,300,305.799,300,305.11,2809056,305.11
848,AMZN,11/7/2014,297.82,299.99,296.29,299.86,2647352,299.86
849,AMZN,11/6/2014,296.69,297,292.29,296.64,3758121,296.64
850,AMZN,11/5/2014,303.01,304,294.16,296.52,4674492,296.52
851,AMZN,11/4/2014,303.99,304.25,300.17,302.81,3427384,302.81
852,AMZN,11/3/2014,306.24,308.01,303.24,305.72,3244150,305.72
853,AMZN,10/31/2014,305.15,305.72,301.5,305.46,4551795,305.46
854,AMZN,10/30/2014,293.98,299.74,292.36,299.07,4055155,299.07
855,AMZN,10/29/2014,299.11,299.61,293.0701,294.12,4883259,294.12
856,AMZN,10/28/2014,289.76,298,289.76,295.59,5576646,295.59
857,AMZN,10/27/2014,285.7,290.42,285.02,289.97,5950594,289.97
858,AMZN,10/24/2014,284.4,293.81,284,287.06,19805911,287.06
859,AMZN,10/23/2014,313.4,316.8,311.4,313.18,9038193,313.18
860,AMZN,10/22/2014,315.43,318.98,312.64,312.97,3130049,312.97
861,AMZN,10/21/2014,309.9,315.64,307.07,315.33,3563351,315.33
862,AMZN,10/20/2014,302.95,306.53,302.02,306.21,3239490,306.21
863,AMZN,10/17/2014,307.15,309.2,302.72,303.64,4409218,303.64
864,AMZN,10/16/2014,293.83,306.82,293.83,302.86,4731866,302.86
865,AMZN,10/15/2014,304.35,307.9,299.102,305.97,5348254,305.97
866,AMZN,10/14/2014,308,312.24,305.75,308.31,3385809,308.31
867,AMZN,10/13/2014,309.87,313.2,303.47,306.45,4369850,306.45
868,AMZN,10/10/2014,314.02,317.77,311.38,311.39,3684314,311.39
869,AMZN,10/9/2014,321.49,322.271,314.52,315.37,3589464,315.37
870,AMZN,10/8/2014,316.58,324.11,314.14,322.7,3458960,322.7
871,AMZN,10/7/2014,319.43,322,316.67,316.98,2365698,316.98
872,AMZN,10/6/2014,323.5,324.13,319.6,322.2,2294194,322.2
873,AMZN,10/3/2014,320.36,325.16,319.53,322.74,3037891,322.74
874,AMZN,10/2/2014,316.92,318.53,311.31,318.41,3553944,318.41
875,AMZN,10/1/2014,322.04,322.165,315.55,317.46,3096735,317.46
